	symbols	parent
Mining - Miscellaneous	ADMG,AWCMY,AREC,AMNP,APEOF,USAS,AOVTF,NGLOY,AMNL,AUNFF,AVLNF,BBL,BHP,RIINF,MNRL,CCJ,BAJFF,IZCFF,CNYCF,CSFFF,CDYCF,CELTF,CEGMF,CHGS,CHNR,CINR,CLF,CVIA,DYLLF,DNN,DMIFF,DMDD,CLTS,EMX,EXPL,NSRCF,ERLFF,EXN,FCGD,FMNJ,GMOL,GLNCY,AUMN,GPXM,GRYEF,MOCI,HCR,HBM,IAALF,IMPUY,ITRG,NILSY,BHLL,LTUM,LMRMF,LYSDY,MTRN,MUX,MTA,MPVDF,HYMC,NJMC,NEM,NEXA,NXE,ONXC,EORBF,OROCF,PBMLF,NMTLF,PALAF,PNRLY,PLL,PLG,PLM,AUCOY,PEMIF,QTRRF,QRMLF,REEMF,RIO,SFEG,SRCH,SLSDF,SBSW,SMTS,SVBL,SSRM,SVM,SILV,XPL,SOUHY,TINO,TGB,TECK,TLRS,TMQ,TRQ,URG,UEC,WWR,SLCA,VEDL,WMLLF,WRN,WSTRF,WPM,ZADDF,ZENYF,FPLSF,ACH,AMLM,ARREF,CDIIQ,LEU,CDE,UUUU,FQVLF,FCUUF,FCX,KZMYY,LUNMF,PZG,PENMF,SCCO,SMPR,HREEF,THRA,THMG,TOEYF,UAMY,VOHO	Basic Materials
Mining - Iron	AMLZF,AXXDF,FSUGY,KIROY,MSB,VALE	Basic Materials
Mining - Gold	ABGLF,AEM,AGI,AAU,AIVN,AGCZ,AU,GAU,FURY,BTG,BAA,GOLD,BFGC,CMCL,CBLRF,CRDNF,LODE,KOR,DTRC,DRD,DPMLF,EGO,EQX,FNV,GFI,GDRZF,GORO,GSV,GSS,GLDG,GYPHQ,HMY,IAG,THM,IPMG,JAGGF,KGC,KL,LONCF,MMX,MXSGD,MGHCF,NGD,NCMGY,RCCMF,NAK,NG,OROXF,OR,PGXPF,PVG,RVNG,RGLD,RYSMF,BNAUF,SAND,SA,SLGGF,TRX,TGMGF,URHG,USAU,VGZ,AUY,ZOM	Basic Materials
Metal Products - Procurement and Fabrication	SKFRY,AMGY,AP,CENX,CIR,ELGT,FRD,EAF,HIHO,KALU,LQMT,MLI,NANX,NNBR,NHYDY,NWPX,NPSKY,OLNCF,SGTN,SIDGQ,TPCS,TKR,TRS,WOR	Industrial Products
Metal Products - Fasteners	PKOH	Industrial Products
Metal Products - Distribution	AA,AREM,ARNC,CSTM,LAWS,MITSY,NORNQ,RS	Industrial Products
Medical Services	AGHC,AIH,AMBS,AMN,AMFPF,AMEH,ATMS,MYDP,ARHH,AVTR,BGMD,BIOC,BICX,BMXMF,BEAT,CGIX,CANL,CDNA,CPYT,CBSC,CRL,CO,CODX,CMPS,DMTK,CCEL,QDMI,ESTA,ERFSF,FCHS,GNGBY,GDRX,GRST,HROW,HQY,TVTY,ICOTF,ICLR,IDXG,LAXAF,LHCG,MEDP,MPLN,NTRA,NFH,NMHLY,NVCR,OCX,OPGN,ORTIF,PFHO,PPD,PRAH,PINC,PGNY,QBIO,SRGA,SY,SGRY,TAUG,TDOC,UDHCF,CNABQ,WCUI,XSPA,ZICX	Medical
Medical Info Systems	TXG,YI,ONEM,MDRX,AMWL,APYI,AXNX,BTCY,CRVW,CNTG,CERN,CHNG,CPSI,CRRVF,DECN,DIGP,DRAD,MOHO,FLGT,HCAT,HMSY,INSP,NVTA,IRTC,ITMR,LVGO,MXDHF,MCTH,MGTI,MHCC,MOTS,MTBC,NH,NXGN,OMCL,OM,PPRG,PHR,PPJE,POAI,PRED,LUNG,RNVA,SDGR,SENS,SSKN,STRM,SYNH,TRHC,PRPO,MITI,POTN,ZCMD	Medical
Medical - Products	ABT,ABCZY,ASNB,AGIO,AKER,AKSY,ABMC,APHA,ATRC,ACB,VIVXF,BAX,BRBR,BLFS,ACAI,BIO,BSX,APYX,BWAY,CGC,CAPR,CSII,CBAI,CLRB,CERS,PHGE,CEMI,CMRX,CMPD,HSTO,CTSO,AHCO,DDXSQ,DSRLF,EGRX,GRUSF,NVST,UPDC,ESLOY,EOLS,EXDI,XGN,VERU,FTLF,FPMI,FONR,HUGE,FWDG,GNWSF,GNAL,GLUC,GNNDY,TGODF,GHSI,GTHP,GWPH,HAE,HRBR,HRTT,HMGN,HEXO,HRC,HCM,HYBE,ICUI,ICCC,INFU,IGNT,INMD,PODD,NVIV,JNMB,LNTH,LMAT,LHSIF,LFPI,LZAGY,MGNX,MZEIQ,HCYT,MDT,VIVO,MTST,KERN,MYO,NSTG,EYE,NEOG,NEPH,NEPT,NURO,NTRP,BIMI,NUVA,CPTRF,OMER,OCLG,ORMP,OSUR,OGI,OMI,PCGR,PRGO,PETQ,PAHC,PSID,PURE,QTRX,QTXB,QDEL,RBCL,RGBOQ,RMD,RMTI,SNWV,SEIGY,SNES,SHWGF,SNN,SSUR,SYK,SNPTF,SURF,SRDX,TXSP,TRUMY,KOAN,TGTX,TDNT,TRIB,UEEC,UG,ULGX,UTMD,VLRXQ,VAPO,VREX,VMD,WEQL,WILYY,SMTI,ZBH,ZYXI	Medical
Medical - Outpatient and Home Healthcare	AACH,ADUS,AMED,ARA,BIOQ,CTHZ,OTRK,CEVE,CHE,DVA,DXR,ELAN,EHC,FSNUY,HNGR,HMNY,IMAC,BBAL,OSH,OPCH,PCHM,PMD,DGX,QHCQQ,RDNT,SNRR,PNTG,UDHI,USPH	Medical
Medical - Nursing Homes	BKD,CSU,CCM,DVCR,FVE,GEN,NHC,ENSG	Medical
Medical - Instruments	ABMD,AXDX,ARAY,EQUR,ADMT,ABMT,IWKS,ALC,AHPI,ATEC,ALRT,ADLI,AMS,ANGO,APEN,ARTH,ARYC,ATOS,AVNS,AVGR,AXGN,BASI,BNKL,BSGM,CMD,CGNH,CHEK,CHFS,RYMDF,CTTC,CFMS,CVALF,CRHM,CRY,MDIT,MTTCF,DRIO,DCTH,DXCM,DXTRQ,DYXC,MEDH,DYNT,EAR,ECTE,EDAP,EW,EKSO,ELMD,EKTAY,ECIA,NDRA,RSLS,ERBA,FLDM,FMS,GNMK,GKOS,GMED,HSDT,HOLX,HTGM,HDII,IDXX,IMRSQ,NARI,NEMD,INGN,NSPR,ITGR,IART,INAR,XENT,ISRG,IRMD,KMLXF,IVVI,LNSR,LLIT,LIVN,EVARF,LMNX,MAGAA,MNSF,MASI,MDFZF,MLAB,MBOT,MICR,CLPT,NAOV,NTUS,NAVB,NMRD,NVCN,STIM,NVRO,NWCI,NXNN,NHNKY,NIMU,NVTRQ,OBLN,OCPNY,OPK,OFIX,OMRX,KIDS,OXFD,PMDL,PACB,PDMI,PAVM,PEN,PECN,POSC,PEYE,LENSF,PBIO,PUMD,PLSE,QTNT,RMED,KRMD,VERO,RWLK,SARTF,SPNE,EYES,SMLR,SRTS,SEOVF,SWAV,SIBN,SIEN,SILK,SINT,SOLY,SONVY,EDTXF,SCIE,SPEL,STXS,STE,SSMXY,TTOO,TCMD,TNDM,TDLAF,TEAR,TFX,TMO,TMDI,TRXC,TMDX,VAR,VSMD,VASO,VCYT,VRSEF,AWH,VRTT,VRAY,VIVE,WMGI,XCRP,XTNT	Medical
Medical - Hospital	ACHC,CHCR,RCEL,CYH,HCA,MD,OPMC,SSY,THC,UHS	Medical
Medical - HMOs	AEMD,GNOW,ANTM,CNC,FPCG,HUM,LPTC,MGLN,MOH,HLTH,SEM,JYNT,GTS,UAHC,UNH	Medical
Medical - Generic Drugs	ACST,ACUR,ADMS,AGRX,AKRXQ,AMPH,APNHY,ASMB,BTCA,BHC,BBIO,CBPI,CHME,CPHI,CBAY,RDY,EVOK,GBIO,GBIM,FIXX,IPAH,MNKKQ,MYL,PARNF,PSNL,PRVL,SLGL,SUWN,SUPN,TRGM,TSHA,TLGT,TEVA,VYGR,ZYNE	Medical
Medical - Drugs	ACRX,ACHV,ACRS,ATNM,ACUS,AFIB,ADMP,ADXN,FENC,KDNY,AAAP,AOLS,AERI,AGE,AKBA,ALDX,AGYTF,ALVR,ALSE,ALT,AOBI,AMRX,AMPE,AOXG,APM,AQST,ARDMQ,ARDX,ARWR,TARA,ASRT,ALPMY,AUPH,EARS,AVDL,ATXI,AXMP,AYLA,AZYO,BXRX,BLCM,ENLV,BIOAF,BCRX,BLRX,BMRA,BPTH,BSTC,BSPM,BIVI,BDTX,BTHE,CALA,CALT,CANF,PKPH,CTST,CDXI,CASI,SAVA,CTLT,CPRX,CSBR,CCXI,CNBI,SXTC,CTXR,CLIGF,COLL,CNCE,CXRXF,CFRX,CRBP,CORT,CRNX,COTQF,CRON,CTIC,CPIX,CURR,CVSI,CYAN,CYDY,PSTV,PLXP,DGJI,DRRX,DYN,ESALY,ECOR,ELTP,EMIS,ENTA,ENDP,ETTX,ESPR,EPIX,EVTCY,EYEG,FGEN,SLRX,FLXN,FWP,FUSN,GALT,GLMD,GSAC,GNBT,GNCA,GLYC,CPMD,GRFS,ONCT,HJLI,HARP,HESG,HTBX,PCSA,INTI,AIM,HRTX,HKMPF,HSTC,HYPMY,IAGX,IMGN,IMV,IGC,INVVY,INFI,IPHYF,NSPX,INBP,IGXT,IPCIF,IYXI,IONS,IPSEY,IRWD,ISR,ITRM,JAGX,JAN,JAZZ,JNCE,KALV,KPTI,KMPH,KTOV,LJPC,LCI,LPCN,LTUS,LYRA,MBVXQ,MDGL,MTEX,MRNS,MRKR,MTNB,MCUJF,MDWD,MEIP,MLNTQ,VYNE,MKGAF,MTP,NERV,MRVT,MTEM,NNVC,NAII,NATR,NKTR,NEOS,NTII,NBIX,NEVPF,ALPN,NBY,NOVN,NVUS,NTRB,PMCB,NRIFF,OASMY,OCUL,ODT,OMBP,ONTX,OPHLF,ACER,OPNT,OPTN,ORGO,ORINY,OTIC,PHLI,PCRX,PRFX,PTHN,PHRX,PXSLY,WWHC,BETRF,PVTTF,PMVP,PTE,POLXF,PYPD,PARD,PXYN,PRLD,PRVCF,PROF,PROG,PRPH,PRTX,PTCT,RDUS,RFL,RCDTF,REPH,RDHL,RGLS,RLAY,RLMD,RNUGF,RVMD,RIGL,QLGN,RCPIQ,PHIO,SAGE,SVRA,SCYX,TYHT,SRRA,SIGA,SLN,SKVI,SLNO,SNOA,ONPHD,SPPI,STDAF,SMMT,SNDL,SYVC,TLC,TAK,TARO,TCRR,TXMD,TBPH,TBET,TLRY,TNXP,TBIO,TCDA,TRIL,ASPCF,TPTX,TYME,UCBJF,ULUR,UTHR,USNA,VXRT,VEGPF,VRCA,BBI,VOQP,XNCR,XBIO,XERS,XTLB,LRMR,ZTS,ZGNX	Medical
Medical - Dental Supplies	ACETQ,ALGN,ABC,ATRS,ATRI,AVTI,BDX,BIOL,CAH,CNMD,XRAY,ELGXQ,ESMC,FZMD,GRCU,HSIC,IVC,LH,LANZ,LFVN,MCK,MMSI,MLSS,PDCO,PDEX,QMED,REMI,RVP,SCRCQ,SGTI,SEYE,SDC,STLT,STAA,SAUHF,COO,HCMC,WST	Medical
Medical - Biomedical and Genetics	ETNB,ABEO,ACIU,ACAD,XLRN,AKAOQ,ACOR,ALIOF,ADAP,ADPT,ADCT,ADDXF,ATRX,ADIL,ACET,ADMA,ADOCY,ADLS,ADXS,ADVM,AGLE,ARPO,AEZS,AFMD,AFFY,AGEN,ALRN,XAIR,AKTX,AKRO,AKUS,ALBO,ARCT,ALEC,ALXN,ALGS,ALIM,ALKS,ALLK,ALNA,ADYX,ALLO,ALNY,ALXO,AMAG,AMAR,AMRN,USAQ,AMGN,FOLD,POWW,ARMP,AMYT,ANAB,AVXL,ANCN,SOAN,ANIP,ANIK,ANIX,ANNX,ANVS,ANPC,ANTH,ATBPF,RZLTD,APLS,APLIF,AGTC,AMTI,APLT,APRE,SEEL,APVO,APTX,APTO,AQB,NLTX,ARAV,ABUS,ABIO,RCUS,ARQT,ARNA,ARGX,ARDS,ARTL,ARVN,ARYX,ASND,ASLN,ATRA,ATNX,AHROQ,ATHX,ATHA,BCEL,PTIX,LIFE,AUTL,AVXT,AVEO,CDMO,RNA,AVRO,AXLA,AXGT,AXSM,AYTU,AZRX,BPMUF,BVNRY,BEAM,BGNE,BLPH,BLU,BNTC,BLI,BYSI,BCYC,BCDA,BDSI,BFNH,BFRA,BIIB,BHVN,USRM,BMRN,BNGO,BVXV,BNOEF,BNTX,TMBR,BIO.B,BRTXQ,BSTG,TECH,BTAI,BIXT,XYNO,BLUE,BPMC,BCLI,BCTXF,BMY,CCCC,CABA,CLBS,CAPS,CARA,CRDF,CRXM,CSTL,CATB,CBIO,CRPOF,CELC,CLDX,APOP,CLLS,CBMG,CVM,CLSN,CYAD,CERC,THMO,SONN,CMPI,CKPT,CHMA,CBPO,CHHE,CDXC,CDTX,CLSD,CBLI,CLVS,CNSP,COCP,CDXS,CDAK,CWBR,CHRS,CLGN,CGEN,CNST,HEPA,CRMD,RSPI,CRTX,CRVS,CRSP,CSLLY,CTDH,CUE,CVAC,CRIS,CYCC,CYCN,CYYNF,CYTK,CTMX,CYTR,DARE,DBVT,DCPH,KTRA,DGEN,DNLI,DMAC,DRNA,DNAG,DYAI,DVAX,ETST,ABVC,EDSA,PDSB,EDIT,EIDX,EIGR,EMBI,EBS,EMMA,ENDVD,ENOB,ENTX,ERGO,ENZ,ENZN,EPRSQ,EPZM,EQ,ERYP,ETON,EVLO,EVGN,EXAS,EXEL,XCUR,EYEN,EYPT,FATE,FPRX,FMTX,FBRX,FBIO,FRLN,FREQ,FULC,GTHX,GLPG,SLS,GRTX,GMDA,GNLKQ,GENE,GTH,GNFT,GNMSF,GMAB,GNPX,GOVX,GERN,GILD,GBT,GOSS,GRAY,GLSI,GRTS,GH,HALO,HAPP,HRMY,HDVY,HXBM,HBPCF,HSKA,OCGN,HOOK,HZNP,HOTH,IBIO,IDYA,IDRA,IGNE,IGMS,ILMN,IMAB,IMRA,IMNPQ,IMUX,IMUC,IMNM,IMMU,IMVT,IMRN,INCY,IFRX,INBX,INMB,IPHA,NMTR,RCKT,INO,INZY,INSM,NTEC,NTLA,ICPT,ISCO,ITCI,PGEN,IVA,INVO,IOVA,IRBS,ITOS,ISEE,KDMN,KALA,KLDO,HGEN,KMDA,KRTX,KROS,KZR,KIN,KNSA,KRBP,KOD,KRON,KRYS,KURA,KYMR,LTRN,LPTX,LEGN,LXRP,LXRX,LGND,LCTX,LQDA,LOGC,LUMO,MPHMF,MGTA,MNKD,MATN,MDNA,MNOV,MGTX,MREO,MACK,MRSN,MRUS,MESO,MTCR,MIST,MDXG,MRTX,MIRM,MMRF,MRNA,MBRX,MNPR,MORF,MOR,MTFB,MBIO,MYMX,MYOK,MYOS,MYOV,MYRX,MYGN,NBRV,NNBP,NK,NEO,EVFM,SNCA,NRBO,NWPHF,NXEN,NXTC,NGM,NICXF,NKTX,NWBO,NVAX,NSTM,KZIA,NCNA,NRIX,NPHC,NLBS,NYMX,OBSV,NBSE,OTLK,ONCY,ONCR,ONCS,OPT,OGEN,ORTX,ONVO,ORGS,ORIC,ORPH,OSMT,MLND,OVID,OXBDF,GTBP,OYST,PTN,PANC,PAND,PRTK,PASG,PFND,PDLI,PHMMF,PHGUF,PHAS,PZRXQ,PHAT,PIRS,PXRB,PLAG,PLRX,PSTI,PSTX,PXXLF,ATHE,PRAX,DTIL,IMMP,LMNL,ARFXF,PPCB,PRQR,PTGX,PLX,PTI,PRTA,PPMD,PVCT,PRVB,PULM,PBYI,QGEN,QNNTF,QMDT,RAPT,RETA,REGN,RGRX,RGIN,RGNX,RCAR,RPTX,RGEN,REPL,RGDXQ,DFFN,RTRX,RVNC,WOWU,REXN,RYTM,ROSGQ,RUBY,SGMO,SRPT,STSA,SRRK,SCPH,SGEN,SELB,ELOX,MCRB,SESN,STTK,SNNAQ,MGEN,SBMFF,SVA,SLDB,SNGX,SPHS,SRNE,SPRO,AIKI,SBPH,SWTX,SPRB,SPHRY,MITO,STOK,SBBP,SNBP,SNSS,STRO,BIOVF,SNDX,SYBX,SYN,SYNI,SYRS,TARS,TELA,TENX,TNGNQ,TLOG,TFFP,TRPXD,THTX,TTNP,TLSA,IMUN,TCON,TRVN,TRVI,TWST,RARE,QURE,UBX,COGT,URGN,UROV,VCNX,VNDA,VBLT,PCVX,VBIV,VSTM,VCEL,VRNA,VRTX,VGLS,VIAP,VIE,VKTX,VIR,VTGN,VBIO,VODG,VVUSQ,VNRX,VTVT,WVE,WHCA,WINT,WIZP,XFOR,XBIT,XENE,XOMA,YBAO,YMAB,ZLAB,ZEAL,ZLDPF,ZNTL,ZIOP,ZIVO,ZSAN,ZYME	Medical
Media Conglomerates	FWONA,FWONK,FWONB,MDIUY,PSO,SEGI,DIS	Consumer Discretionary
Manufacturing - Tools & Related Products	AMDLY,EBON,EPAC,HURC,KMT,LECO,SDVKY,SMIT,SWK,TTNDY	Industrial Products
Manufacturing - Thermal Products	BYPLF,GENC,JBT,PNR,ZBRA	Industrial Products
Manufacturing - Print	DLPX,IKNX,XONE,EDNT	Industrial Products
Manufacturing - Material Handling	CMCO,DSCSY,HY,PGNT,BWOWF	Industrial Products
Manufacturing - General Industrial	DDDX,ALTG,AIMC,AIT,ATLKY,BWEN,BURCA,GTLS,CHSTY,SEIID,COTE,CFX,CVV,DOV,DXPE,ECOP,NPO,FLS,GEAGY,GPTX,GRC,GGG,GHM,HLIO,CRAWA,HIMR,IEX,IHICY,ITW,IR,KAI,KAMN,KATYQ,KWHIY,LXFR,MNTX,MHVYF,MVAC,NDSN,OMTK,OSRS,PH,MUEL,PRAC,ROLL,RIVT,ROP,VALV,SOTK,SXI,SOHVY,TAYD,TCGN,TNC,JPSWY,MIDD,THTI,TRITF,TWIN,BBRW,WBT,FERGY,WUHN,XYL	Industrial Products
Manufacturing - Farm Equipment	AGCO,ALG,ARTW,BGGSQ,DE,INQD,KUBTY,LNN,TRTC,TWI,TCOR	Industrial Products
Manufacturing - Electronics	AOS,ABB,AZZ,CPST,CPEU,CPQQ,ETN,EMR,ELED,WATT,ENS,ESE,FELE,IPWR,IIVI,JNSH,KNYJY,LGL,MRAAY,PPSI,PLUG,POWL,RBC,RXN,SBGSY,LBTI,FLOW	Industrial Products
Manufacturing - Electrical Utilities	CVR,HUBB,SIELY	Industrial Products
Manufacturing - Construction and Mining	ASTE,CAT,HEES,HTCMY,KMTUY,LONKF,TEX,MTW	Industrial Products
Leisure and Recreation Services	AASP,AMC,AVPI,BVH,BVHBB,AESE,BXG,BWL.A,CZR,CWH,CCL,CUK,FUN,CNK,KJFI,DVD,DS,FGETF,FBLQ,ECXJ,OSW,HISJF,SKYL,HUD,LIND,LYV,MSGE,MANU,MCS,NCLH,PLNT,PRXIQ,RICK,RDI,RCL,ROCLF,SEAS,SIX,SFHI,MSC,TH,MSGS,TCKGY,TIXC,CLUBQ,TCOM,TUIFY,TRWH,MTN,WW	Consumer Discretionary
Leisure and Recreation Products	ASO,GOLF,AOUT,ATCV,BOLL,BC,ELY,CLAR,DTCGF,ESCA,JOUT,KNDI,LAZY,LEAT,MBUU,MPX,MCFT,NDVR,ONEW,PTON,POOL,SMNNY,SMEV,SWBI,RGR,TVPC,VSTO,WTLC,YETI	Consumer Discretionary
Lasers Systems and Components	AERG,CUTR,CYBE,DYSL,IMCI,INRD,IPGP,IRIX,IOMT,LITE,MMTC,MVIS,TMED	Computer and Technology
Large Cap Pharmaceuticals	ABBV,AZN,BAYRY,LLY,GSK,HLUYY,INVA,JNJ,MRK,NVS,NVO,PFE,RHHBY,SNY	Medical
Internet - Software and Services	AWRE,WIFI,ECOM,CDWD,CRTO,DFIN,EIGI,GLOB,HUYA,MOMO,NMXS,NTES,NTIP,OKTA,QUOT,RDVT,RNG,SABR,TLND,VRSN,VG	Computer and Technology
Internet - Software	RETC,TWOU,EGHT,ACNV,AFFN,WORX,AYX,AMST,PLAN,APPF,APPN,APYP,ARCE,ARLO,ALIF,ASAN,TEAM,AEYE,JG,AVLR,BNFT,BSY,BILL,BL,BLCT,BOX,BRRZY,BVSNQ,MJTK,DLOC,CSLT,CDAY,CMCM,CHGG,CCC,CLDR,NET,CMFV,ISGN,CNSWF,COUP,CVET,CRWD,CYRN,DDOG,DSNY,DTGI,APPS,DOMO,DCT,EGAN,ETER,EPXY,EVTI,EVBG,EVH,FFIV,FSLY,FIVN,GAN,INVS,GDSI,OBLG,ELRN,GSUM,GTYH,HYBT,HPTO,WSTM,HUBS,IIIV,IDDR,IFAN,QUBT,INSG,IVDA,IWMG,IZEA,JCOM,JCDAF,FROG,JFIN,PPPS,KALO,KGDEY,KC,LSPD,LN,LINX,LIQDQ,LIVE,MTLS,MCCX,MFGP,MIME,MNDO,MIXT,MOBL,MODN,MOMT,MDB,MYSZ,NCNO,NETO,NEWR,EGOV,NICE,REKR,NXTD,OSS,OSPN,PD,TEUM,PAYC,PCTY,PYPL,PCSV,PHUN,PINS,PBTS,PCLI,QTT,RDVWF,RPD,RNWK,RCRT,RCIT,RSASF,RMNI,SFET,SHSP,PIXY,SING,SMAR,SNAP,SNOW,SOGO,SWI,SOFO,SPDC,SPLK,SQ,STNE,SUMO,SPRT,SUVZ,SNCR,TAPM,TMNSF,TENB,MGNI,THRY,TGRVF,TNTRQ,TRHFD,TWLO,TWTR,UPLD,VLDI,VEEV,VERX,VHC,RPMT,WTRH,CLWD,CREX,WDAY,WK,AYRO,YALA,ZEN,ZM,ZUO,ZVLO	Computer and Technology
Internet - Services	VNET,AVGG,ADVC,AKAM,GOOGL,GOOG,ANGI,AWEB,ASPU,ATNP,ATHM,BIDU,BILI,BLIN,BMTM,CANG,CTYO,JRJC,CIIX,CTK,CXDO,CYGIY,CYAGF,DTST,DNACF,LYL,DBX,ETSY,EB,FB,EAXR,FCUV,GIGM,CHYI,GREZF,HSTM,INOW,INAPQ,IGLDF,IIJIY,INUV,LEAF,LTRPB,LTRPA,LLNW,LMDCF,LMSC,LPSN,LOCMQ,LYFT,MLRYY,MCHX,PALS,MOXC,OPMG,PCCWY,PCWLF,PSCO,QMCI,RKUNY,RMBL,AIHS,SHOP,SIFY,SOHU,SPDE,SPT,STNX,SBAY,SGTB,STG,SVMK,SYNC,TAOP,TCEHY,TTD,TGLO,TRVG,TRUE,UBER,UDIRF,UPWK,UXIN,VIEWF,VIOT,WDRP,WHLM,XNET,YTRA,YRD,YY,ZG,ZIPL,ZS	Computer and Technology
Internet - Delivery Services	ASUR,BITA,CCIHY,GDDY,GRUB,HEWA,LITB,MMYT,NXPC,QNST,RENN,PXHI,VIPS	Computer and Technology
Internet - Content	AMEN,ASCBQ,BWAV,BYOC,BCOV,CCGM,DL,CWRL,CRMZ,CRWG,DHX,GEENQ,GRVY,INTH,INLX,IVFZF,KIWB,LVWD,LYLP,NSAV,OPRA,PZOO,PERI,PCOM,POPM,REDFY,RELX,SLNM,SSTK,SINA,LOV,TTGT,TME,NCTY,TCX,TOUR,UMEWF,VIDA,WB,WIMI,YNDX,YELP,ZDGE	Computer and Technology
Internet - Commerce	BABA,AMZN,ARTD,ASOMY,BIGC,BKNG,CARS,CVNA,CVLBD,CURM,RBZHF,EBAY,ENAB,EXPE,FVRR,GRPN,GSVI,SFT,JD,JMIA,LIVC,LMPX,LGIQ,MTCH,MDWK,MELI,MONOY,MIHL,BCNN,NETE,NXPS,NXMR,OCDDY,ODMO,OLB,ONVC,OSTK,PETS,PDD,PROSY,QRTEA,QRTEB,RVLV,SECO,SMKG,STMP,TZOO,TRIP,MEDS,TC,YJ,YAHOY,ZLNDY	Retail and Wholesale
Insurance - Property and Casualty	PIH,AMBC,AFG,AOREF,ACGL,ARGO,AFHIF,AXS,BRK.B,BRK.A,CB,CINF,CNA,CNFR,DGICA,DGICB,RE,FRFHF,FNF,FACO,FAF,GANS,GBLI,GLRE,HALL,HCI,HRTG,ICCH,ITIC,KINS,KFS,KNSL,MHLD,MAJCQ,MKL,MCY,MSADY,NGHC,NSEC,NODK,NMIH,PLMR,PRA,PROS,RNR,RLI,SAFT,SAXPY,SBBG,SIGI,SG,SMPNY,STFC,STC,ALL,THG,PGR,TRV,TPRE,TKOMY,UFCS,UIHC,UVE,WTRE,WTM,WRB	Finance
Insurance - Multi line	AATDF,ACMT,ACMTA,AEG,AGESY,ALIZY,ACGI,AIG,ANAT,AIZ,AGO,AXAHY,BBSEY,CI,CFIN,CNO,ESGR,EVER,FFG,GVFG,GSHD,HMN,IHC,JRVR,KMPR,LGGNY,LMND,MBI,MET,MTG,MURGY,ORI,PNGAY,PTVCA,PTVCB,PUK,PRU,RDN,SCRYY,SLQT,SSREY,HIG,IGIC,TIG,TGIC,UNAM,WAXS,ZURVY	Finance
Insurance - Life Insurance	AAGIY,AEL,ATH,AVVIY,BHF,BRP,LFC,CIA,FLFG,GNW,GOCO,GWGH,IHRC,KCLI,LNC,MFC,NWLI,NNGRY,PRI,RGA,SNFCA,SNYFY,SLF,UTGN,VERY,VOYA	Finance
Insurance - Brokerage	AON,AJG,BCRHF,BRO,DMCD,EHTH,ERIE,FANH,HVRRY,HUIZ,MMC,OXBR,PNTPQ,SYCRF,MAAL,TILCF,TIPT,WLTW	Finance
Insurance - Accident and Health	AFL,AMSF,ARINA,AAME,EIG,PPHI,TRUP,UNM	Finance
Instruments - Scientific	BRKR,ESNR,HBIO,INIS,KEQU,MTD,MSON,MTSC,PKI,SCND,TIKK,WAT	Computer and Technology
Instruments - Control	ACSEF,AMOT,BMI,ELSE,FEIM,MKTY,ST,THR,TRNS,NIHK,WTS,WWD	Computer and Technology
Industrial Services	ARGKF,ADRZY,ARD,ASHTY,BOUYF,NSCO,CLIR,BOOM,EVI,HDS,HRIBF,HDSN,IAC,KIGRY,MSM,SCSC,TMX,SIEGY,SITE,TPIC,GWW	Industrial Products
Industrial Automation and Robotics	FANUY,HOLI,INVI,IRBT,KUKAY,ROBOF,ROK,SDON,TOOD	Computer and Technology
Household Appliances	AOWDF,DEER,ELUXY,HRELY,HBB,HWDJY,LBYYQ,NC,VUOC,WHR	Consumer Discretionary
Hotels and Motels	CNDL,HTHT,CHH,CVEO,EWKS,STAY,HOFV,GHG,HGV,HLT,IHT,IHG,VAC,MAR,OLCLY,PLYA,PRSI,RLH,SCHYY,SHALY,CAGU,WYND,WH	Consumer Discretionary
Government Services	BAH,ICFI,MMS	Business Services
Glass Products	APOG,ASGLY,OI,XYIGF	Industrial Products
Gaming	WBAI,ACEL,ARHN,BLIBQ,BLIAQ,KDOZF,BYD,CPHC,CCOEY,CNTY,CRVH,CHDN,CRSR,DOYU,GMBL,FLL,GLXZ,GBCS,GDEN,LINUF,IGT,LVS,LTFD,MDEVF,MLCO,MGM,MCRI,NWGI,PENN,AGS,RRR,SCPL,WINR,SJMHF,SLGG,THRSF,TWOC,TPCA,UBSFY,UETMF,WTCG,WIMHY,WYNMF,WYNN,ZNGA	Consumer Discretionary
Furniture	AMWD,BSET,DIIBF,FLXS,HOFT,KBAL,LZB,LEG,MAWHY,NTZ,NVFY,AMXX,ROWC,SNBR,VIRC,WSC	Consumer Discretionary
Funeral Services	CSV,HI,MATW,SCI	Consumer Staples
Food - Natural Foods Products	DPUKY,DKAM,BKCT,FARM,WILC,NGVC,PFGC,SPTN,SFM,MRWSY	Retail and Wholesale
