	symbols	parent
Technology Services	QFIN,TTMZF,ACCD,API,SUIC,ALYA,ALPE,AMADY,AMRH,AUVI,APTV,IOTC,ALOT,ATLT,AEXAY,BCOR,BRQS,BOXL,BNR,BLOZF,CDLX,FUBO,CDTI,CSCW,SOS,CD,CLSK,PMTS,DADA,DTTLY,DGNOF,DGLT,DGIF,DPW,DOCU,DLPN,EDNMY,ESTC,EVTN,MRAM,AQUA,XELA,GB,FTHM,FNGR,FRSX,FUTU,FFRMF,GDS,BLKCF,BTBT,PAE,GPHBF,GSKY,GSX,HSC,CGLO,PPMH,HMI,ICLK,IDEX,IDXAF,ISMAY,INPX,INSE,IMTE,INS,IQV,JAMF,CRTD,JT,KNWN,KBNT,LAIX,LBUY,LKM,RAMP,LBCC,LOOP,LUNA,LKCO,TRNX,MSRT,MIND,MTC,MOGO,MKD,NNOX,NCCGF,NRILY,NTDTY,OERLF,TGHI,OCFT,PLTR,PSN,PKKFF,PALT,PT,KLDI,PS,PRTH,QK,QH,RXT,RQHTF,RNSHF,RIOT,RKT,RKFL,RUHN,SRMX,SAIL,BYRN,SSTI,SSNT,EDTK,WORK,SMGZY,SRAX,SPOT,SWCH,TTEC,TRI,GSMG,TOPCF,CRGS,TT,TUFN,VSTA,VERB,VSMR,VRME,VERI,VQSLF,VNT,WAFU,WANSF,WRTBY,WEBB,QTRHF,WCAGY,XPER,YEXT,DAO,ZVO	Business Services
Steel - Speciality	ATI,ARCH,CRS,HAYN,VLPNY	Basic Materials
Steel - Producers	ANIOY,ALJJ,APEMY,MT,AMSIY,CHOPF,CMC,EVRZF,GSIH,GGB,SIM,JFEEF,FSTR,MTL,SID,NPSCY,NUE,ZEUS,OUTKY,PKX,RYI,SZGPY,SCHN,SHLOQ,SSAAY,STLD,TX,TKAMY,TYEKF,TMST,USAP,USNZY,ZKIN	Basic Materials
Steel - Pipe and Tube	DBMG,HEBT,PPIH,MRC,MWA,OFLX,SYNL,TS,VMI,WEBC	Industrial Products
Staffing Firms	BGSF,HQI,CCRN,DLHC,JOB,HAYPY,HSII,NSP,KELYA,KELYB,KFRC,KFY,MAN,RANJY,RCMT,RGP,RHI,STAF,STREF,TEDU,TBI	Business Services
Solar	ASFJ,CNF,DJSP,EFC,ESNT,FNMA,FCIC,AGM,FMCC,JGWEQ,TREE,MMAC,NOVC,OCN,ORC,PFSI,TSLX,VEL,WD	Oils and Energy
Soap and Cleaning Materials	CHD,CL,EESO,HENKY,OBCI,PG,RBGLY,CLX,UN,UL	Consumer Staples
Shoes and Retail Apparel	ADDYY,ANPDF,CAL,CRI,DECK,EDSFF,FRAN,ICON,MCRAA,NKE,PXFG,RCKY,SQBG,SKX,SHOO,WEYS,WWW,XTEPY,YUEIY	Consumer Discretionary
Semiconductors - Radio Frequency	AKTS,MDIA,PRKR,QRVO,RESN,RFIL,SWKS,TWER	Computer and Technology
Semiconductors - Programmable Logic	XLNX	Computer and Technology
Semiconductors - Power	GRMS,POWI	Computer and Technology
Semiconductor Memory	MU,TERA	Computer and Technology
Semiconductor Equipment - Wafer Fabrication	AEIS,AMAT,ASML,LRCX	Computer and Technology
Semiconductor Equipment - Wafer Components	COHR	Computer and Technology
Semiconductor Equipment - Photomasks	FUJIY,PLAB	Computer and Technology
Semiconductor - General	ASYS,INTC,NVDA,DINRF,STM,SUOPY,TXN,THKLY	Computer and Technology
Semiconductor - Discretes	CREE,TOELY,VSH	Computer and Technology
Semiconductor - Communications	ASMIY,DSPG,MRVL,MWIS,NPTN,NDEKY	Computer and Technology
Semiconductor - Circuit Foundry	TSM	Computer and Technology
Semiconductor - Analog and Mixed	ADI,IPHI,MTSI,MX,MXIM,MXL,MCHP,MPWR,NXPI,ON,SMTC,SLAB	Computer and Technology
Security and Safety Services	ACGJ,ADT,ALRM,ALLE,ADSV,APT,APDN,ARGL,ASCMA,ASAZY,CITY,AAXN,BRTI,BRC,CAPC,CVAS,DAAT,DMRC,DGLY,EML,EKCS,FBHS,GFSZY,HLMAF,ICTSF,IDN,ITRN,JCI,LAKE,ATDS,MAGS,SCTY,MSA,NSSC,UEPS,NLOK,REZI,SKVY,SEVT,SPCB,UUU,VRRM,VSPC,VCON,WKEY,WRTC	Industrial Products
Security	FISB,ACNB,AMBZ,BANC,BANF,BCTF,BSCA,BOKF,CALB,CABB,CAIB,CCBC,CFR,FCBP,FFIN,FFWM,FHLB,GNTY,HABK,IBOC,LBC,MVLY,OPBK,PFBN,PCBC,PVBK,PCB,PBNK,PBAM,PB,RRBI,SCBH,SI,SBSI,TCBI	Computer and Technology
Securities and Exchanges	CBOE,CME,DBOEY,ICE,MKTX,NDAQ,OTCM	Finance
Schools	ATGE,AFYA,AMBO,APEI,AACG,BFAM,BEDU,PRDO,CATG,CLEU,MBAIF,CLCN,EDMCQ,EVCI,FEDU,GPX,GHC,LOPE,HLG,IH,LRN,LAUR,LTRE,LINC,LXEH,METX,NAUH,EDU,ONE,NEW,REDU,RYB,STRA,TAL,TIGE,UTI,VTRU,YOGAQ	Consumer Discretionary
Rubber - Tires	AMTY,BRDCY,CSHEF,CTB,LVLV,MGDDY,GT	Auto, Tires and Trucks
Rubber - Plastics	BOTX,CMT,CTIB,FLRAF,FORK,FFHL,MYE,PRLB,RDVA,RUNI,STCC,SINC,VULC	Industrial Products
Retail - Supermarkets	DIT,CRRFY,CBD,IFMK,IMKTA,JSAIY,JRONY,MAKSY,QKLS,TSCDY,KR,VLGEA,WMMVY,WMT,WMK	Retail and Wholesale
Retail - Restaurants	ICTPU,RLLY,ARCO,ARKR,BBUCQ,BH,BH.A,BJRI,BLMN,EAT,CBHR,TAST,CMG,CHUY,CMPGY,CBRL,DRI,PLAY,TACO,DENN,DIN,DPZ,DNKN,LOCO,BBQ,FAT,FRGI,BDL,FCCGD,GIGL,GTIM,GCFB,IPIC,JAX,JDWPY,JACK,KONAQ,KRUS,LATX,LUB,MCD,MHGU,MBPFF,GRIL,NATH,NROM,NDLS,PZZA,PBPB,RAVE,RRGB,QSR,RSTGF,RMCF,RUTH,SHAK,SSPPF,STRZ,SBUX,TXRH,CAKE,STKS,WEN,WING,YUM,YUMC	Retail and Wholesale
Retail - Regional Department Stores	DDS,JCPNQ,KSS,MAURY,BONTQ	Retail and Wholesale
Retail - Pharmacies and Drug Stores	CJJD,CVS,GNC,HLF,RXMD,RAD,WBA	Retail and Wholesale
Retail - Miscellaneous	BBBY,BGFV,BQ,BBW,CLWY,EFLI,DKS,FIVE,HIBB,ITOCY,KAR,KGFHY,HZO,ODP,RGS,SBH,SVNDY,MIK,TSCO,ULTA,WINA	Retail and Wholesale
Retail - Mail Order	FLWS,ATV,GPDB,NSIT,NLS,SKPN,WSTG	Retail and Wholesale
Retail - Jewelry	BRGO,BGI,CJEWY,CFRUY,ELA,KGJI,LKFLF,MDNL,MOV,SIGY,SIG,TIF	Retail and Wholesale
Retail - Home Furnishings	HOME,CSPR,ETH,HVT,HVT.A,KIRK,PIRRQ,RH,YGTYF,TPX,LOVE,WSM	Retail and Wholesale
Retail - Discount Stores	BIG,BURL,COST,DG,DLTR,FREDQ,PSMT,ROST,SHLDQ,TGT,TJX,TUESQ	Retail and Wholesale
Retail - Convenience Stores	CASY,FFPM,XXFPL,TA	Retail and Wholesale
Retail - Consumer Electronics	AAN,BBY,CONN,GME,GMELY,HGGGQ,SFIV,SOYO,SYX,TAIT,VVNT,DBUB	Retail and Wholesale
Retail - Computer Hardware	CNXN,SEDN	Retail and Wholesale
Retail - Catalog Shopping	LE	Retail and Wholesale
Retail - Apparel and Shoes	TSIOF,ANF,AEO,ASNAQ,BEBE,BHOOY,BOOT,BKE,BURBY,CACH,GOOS,CPRI,CATO,CTRCQ,CHS,CHDRY,CBKC,CTRN,DBI,DESTQ,DXLG,ESPGY,EXPR,FTCH,FL,FOSL,GCO,HNNMY,IDEXY,JILL,PPRUY,LB,LEVI,LNNGY,MNSO,MOGU,MVBY,NXGPY,JWN,PRVU,SCVL,SPWH,SSINQ,SMRTQ,SFIX,SEPGY,TLFA,TPR,PLCE,GPS,TLYS,URBN,VRA,WLWHY,XELB,ZUMZ	Retail and Wholesale
